Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Deliverable-4 -All,Chrome 65.0.3325.181,,2018-03-26 22:20:39,2018-03-26 22:23:23,2m - 44.108s,FAILED
,,,,,,
Test Cases/Common Test/All 5 Links Present,Chrome 65.0.3325.181,Verify 5 links are on top,2018-03-26 22:20:39,2018-03-26 22:20:42,2.515s,PASSED
verifyLinksAccessible,Chrome 65.0.3325.181,Verify all 5 links are accessible,2018-03-26 22:20:40,2018-03-26 22:20:42,1.942s,PASSED
,,,,,,
Test Cases/Home Page/Home,Chrome 65.0.3325.181,Test Home page,2018-03-26 22:20:42,2018-03-26 22:20:49,7.629s,PASSED
callTestCase,Chrome 65.0.3325.181,Common utility to traverse to home  page and verify existence of logo,2018-03-26 22:20:42,2018-03-26 22:20:43,1.123s,PASSED
callTestCase,Chrome 65.0.3325.181,Common utility to traverse to home  page and verify existence of logo,2018-03-26 22:20:43,2018-03-26 22:20:48,5.276s,PASSED
Statement - welcomeStr = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(XPath/p_Welcome element)),Chrome 65.0.3325.181,Get the welcome text from Home page using XPath,2018-03-26 22:20:48,2018-03-26 22:20:49,0.060s,PASSED
Statement - taughtBy = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(XPath/p_Taught element)),Chrome 65.0.3325.181,Get the taught by text from Home page using XPath,2018-03-26 22:20:49,2018-03-26 22:20:49,0.049s,PASSED
verifyMatch,Chrome 65.0.3325.181,"Use Reg Ex to verify 'Welcome, friend, to a land of pure calculation.'",2018-03-26 22:20:49,2018-03-26 22:20:49,0.008s,PASSED
verifyMatch,Chrome 65.0.3325.181,"Use Reg Ex to erify \""Used for CS1632 Software Quality Assurance, taught by Bill Laboon\""",2018-03-26 22:20:49,2018-03-26 22:20:49,0.001s,PASSED
closeBrowser,Chrome 65.0.3325.181,,2018-03-26 22:20:49,2018-03-26 22:20:49,0.710s,PASSED
,,,,,,
Test Cases/Fibonacci Page/Fibonacci - Normal Flow,Chrome 65.0.3325.181,Test Fibonacci page,2018-03-26 22:20:49,2018-03-26 22:20:58,8.426s,PASSED
Statement - data = com.kms.katalon.core.testdata.TestDataFactory.findTestData(FibonacciTestData),Chrome 65.0.3325.181,,2018-03-26 22:20:50,2018-03-26 22:20:50,0.723s,PASSED
callTestCase,Chrome 65.0.3325.181,Common utility to traverse to home  page and verify existence of logo,2018-03-26 22:20:50,2018-03-26 22:20:51,1.109s,PASSED
callTestCase,Chrome 65.0.3325.181,Common utility to traverse to home  page and verify existence of logo,2018-03-26 22:20:51,2018-03-26 22:20:56,4.202s,PASSED
click,Chrome 65.0.3325.181,Click on Fibonacci link,2018-03-26 22:20:56,2018-03-26 22:20:56,0.189s,PASSED
verifyElementPresent,Chrome 65.0.3325.181,Check for presence of logo after click,2018-03-26 22:20:56,2018-03-26 22:20:56,0.028s,PASSED
verifyElementPresent,Chrome 65.0.3325.181,Verify 'Submit' button is present,2018-03-26 22:20:56,2018-03-26 22:20:56,0.037s,PASSED
Statement - For (def index : (0..(data.getRowNumbers() - 1))),Chrome 65.0.3325.181,Loop,2018-03-26 22:20:56,2018-03-26 22:20:57,1.239s,PASSED
closeBrowser,Chrome 65.0.3325.181,,2018-03-26 22:20:57,2018-03-26 22:20:58,0.677s,PASSED
,,,,,,
Test Cases/Factorial Page/Factorial - Normal Flow,Chrome 65.0.3325.181,Test Factorial page,2018-03-26 22:20:58,2018-03-26 22:21:05,7.264s,PASSED
Statement - data = com.kms.katalon.core.testdata.TestDataFactory.findTestData(FactorialTestData),Chrome 65.0.3325.181,,2018-03-26 22:20:58,2018-03-26 22:20:58,0.081s,PASSED
callTestCase,Chrome 65.0.3325.181,Common utility to traverse to home  page and verify existence of logo,2018-03-26 22:20:58,2018-03-26 22:20:59,1.316s,PASSED
callTestCase,Chrome 65.0.3325.181,Common utility to traverse to home  page and verify existence of logo,2018-03-26 22:20:59,2018-03-26 22:21:03,3.510s,PASSED
click,Chrome 65.0.3325.181,Click on Fibonacci link,2018-03-26 22:21:03,2018-03-26 22:21:03,0.168s,PASSED
callTestCase,Chrome 65.0.3325.181,Verify presence of logo,2018-03-26 22:21:03,2018-03-26 22:21:03,0.084s,PASSED
verifyElementPresent,Chrome 65.0.3325.181,Verify 'Submit' button is present,2018-03-26 22:21:03,2018-03-26 22:21:03,0.021s,PASSED
Statement - For (def index : (0..(data.getRowNumbers() - 1))),Chrome 65.0.3325.181,Loop,2018-03-26 22:21:03,2018-03-26 22:21:04,1.176s,PASSED
closeBrowser,Chrome 65.0.3325.181,,2018-03-26 22:21:04,2018-03-26 22:21:05,0.678s,PASSED
,,,,,,
Test Cases/Cathedral Pics/Cathedral - Normal Flow,Chrome 65.0.3325.181,Test Cathedral page,2018-03-26 22:21:05,2018-03-26 22:21:14,9.179s,PASSED
callTestCase,Chrome 65.0.3325.181,,2018-03-26 22:21:05,2018-03-26 22:21:06,0.780s,PASSED
callTestCase,Chrome 65.0.3325.181,Common utility to traverse to home  page and verify existence of logo,2018-03-26 22:21:06,2018-03-26 22:21:12,6.275s,PASSED
click,Chrome 65.0.3325.181,Click on Cathedral link,2018-03-26 22:21:12,2018-03-26 22:21:13,0.915s,PASSED
callTestCase,Chrome 65.0.3325.181,,2018-03-26 22:21:13,2018-03-26 22:21:13,0.085s,PASSED
verifyElementPresent,Chrome 65.0.3325.181,Check the presence of an ordered list that contains the number '1',2018-03-26 22:21:13,2018-03-26 22:21:13,0.030s,PASSED
verifyElementPresent,Chrome 65.0.3325.181,Check the presence of an ordered list that contains the number '2',2018-03-26 22:21:13,2018-03-26 22:21:13,0.023s,PASSED
verifyElementPresent,Chrome 65.0.3325.181,Check the presence of an ordered list that contains the number '3',2018-03-26 22:21:13,2018-03-26 22:21:13,0.031s,PASSED
verifyElementPresent,Chrome 65.0.3325.181,Verify 'Sunny Cathedral' image is present,2018-03-26 22:21:13,2018-03-26 22:21:13,0.025s,PASSED
verifyElementPresent,Chrome 65.0.3325.181,Verify 'Alpenglow Cathedral' image is present,2018-03-26 22:21:13,2018-03-26 22:21:13,0.036s,PASSED
verifyElementPresent,Chrome 65.0.3325.181,Verify 'Old Cathedral' image is present,2018-03-26 22:21:13,2018-03-26 22:21:13,0.033s,PASSED
closeBrowser,Chrome 65.0.3325.181,,2018-03-26 22:21:13,2018-03-26 22:21:14,0.698s,PASSED
,,,,,,
Test Cases/Home Page/Home - Corner,Chrome 65.0.3325.181,Corner Test Home page,2018-03-26 22:21:14,2018-03-26 22:21:20,5.665s,PASSED
Statement - data = com.kms.katalon.core.testdata.TestDataFactory.findTestData(FactorialEdgeData),Chrome 65.0.3325.181,,2018-03-26 22:21:14,2018-03-26 22:21:14,0.045s,PASSED
openBrowser,Chrome 65.0.3325.181,,2018-03-26 22:21:14,2018-03-26 22:21:17,2.326s,PASSED
Statement - For (def index : (1..10)),Chrome 65.0.3325.181,Loop,2018-03-26 22:21:17,2018-03-26 22:21:19,2.391s,PASSED
closeBrowser,Chrome 65.0.3325.181,,2018-03-26 22:21:19,2018-03-26 22:21:20,0.691s,PASSED
,,,,,,
Test Cases/Hello Page/Hello - Normal Flow,Chrome 65.0.3325.181,Test Hello page,2018-03-26 22:21:20,2018-03-26 22:21:26,6.273s,PASSED
callTestCase,Chrome 65.0.3325.181,Common utility to verify all 5 links accessible,2018-03-26 22:21:20,2018-03-26 22:21:21,0.900s,PASSED
callTestCase,Chrome 65.0.3325.181,Common utility to traverse to home  page and verify existence of logo,2018-03-26 22:21:21,2018-03-26 22:21:25,4.099s,PASSED
click,Chrome 65.0.3325.181,Click on Hello href,2018-03-26 22:21:25,2018-03-26 22:21:25,0.289s,PASSED
verifyElementPresent,Chrome 65.0.3325.181,Check for presence of logo after click,2018-03-26 22:21:25,2018-03-26 22:21:25,0.022s,PASSED
verifyElementText,Chrome 65.0.3325.181,Compare expected output to variable defined,2018-03-26 22:21:25,2018-03-26 22:21:25,0.053s,PASSED
closeBrowser,Chrome 65.0.3325.181,,2018-03-26 22:21:25,2018-03-26 22:21:26,0.667s,PASSED
,,,,,,
Test Cases/Factorial Page/Factorial - Edge,Chrome 65.0.3325.181,Edge Test Factorial page,2018-03-26 22:21:26,2018-03-26 22:21:35,8.408s,PASSED
Statement - data = com.kms.katalon.core.testdata.TestDataFactory.findTestData(FactorialEdgeData),Chrome 65.0.3325.181,,2018-03-26 22:21:26,2018-03-26 22:21:26,0.031s,PASSED
openBrowser,Chrome 65.0.3325.181,,2018-03-26 22:21:26,2018-03-26 22:21:29,2.184s,PASSED
navigateToUrl,Chrome 65.0.3325.181,Go to Factorial page,2018-03-26 22:21:29,2018-03-26 22:21:31,2.783s,PASSED
Statement - For (def index : (0..(data.getRowNumbers() - 1))),Chrome 65.0.3325.181,Loop,2018-03-26 22:21:31,2018-03-26 22:21:34,2.450s,PASSED
closeBrowser,Chrome 65.0.3325.181,,2018-03-26 22:21:34,2018-03-26 22:21:35,0.725s,PASSED
