Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Deliverable-4 Corner,Chrome 65.0.3325.181,,2018-03-25 19:56:37,2018-03-25 19:56:56,18.899s,PASSED
,,,,,,
Test Cases/Factorial Page/Factorial - Corner,Chrome 65.0.3325.181,Stress Test Factorial page,2018-03-25 19:56:38,2018-03-25 19:56:48,10.202s,PASSED
Statement - data = com.kms.katalon.core.testdata.TestDataFactory.findTestData(FactorialEdgeData),Chrome 65.0.3325.181,,2018-03-25 19:56:38,2018-03-25 19:56:39,0.729s,PASSED
openBrowser,Chrome 65.0.3325.181,,2018-03-25 19:56:39,2018-03-25 19:56:41,2.866s,PASSED
navigateToUrl,Chrome 65.0.3325.181,,2018-03-25 19:56:41,2018-03-25 19:56:42,0.496s,PASSED
Statement - For (def index : (-10..0)),Chrome 65.0.3325.181,Loop,2018-03-25 19:56:42,2018-03-25 19:56:47,5.113s,PASSED
closeBrowser,Chrome 65.0.3325.181,,2018-03-25 19:56:47,2018-03-25 19:56:48,0.651s,PASSED
,,,,,,
Test Cases/Fibonacci Page/Fibonacci - Corner,Chrome 65.0.3325.181,Stress Test Factorial page,2018-03-25 19:56:48,2018-03-25 19:56:56,8.314s,PASSED
Statement - data = com.kms.katalon.core.testdata.TestDataFactory.findTestData(FactorialEdgeData),Chrome 65.0.3325.181,,2018-03-25 19:56:48,2018-03-25 19:56:48,0.033s,PASSED
openBrowser,Chrome 65.0.3325.181,,2018-03-25 19:56:48,2018-03-25 19:56:50,2.063s,PASSED
navigateToUrl,Chrome 65.0.3325.181,,2018-03-25 19:56:50,2018-03-25 19:56:51,0.548s,PASSED
Statement - For (def index : (1000..1010)),Chrome 65.0.3325.181,Loop,2018-03-25 19:56:51,2018-03-25 19:56:55,4.858s,PASSED
closeBrowser,Chrome 65.0.3325.181,,2018-03-25 19:56:55,2018-03-25 19:56:56,0.619s,PASSED
