Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Deliverable-4 Exception,Chrome 64.0.3282.186,,2018-03-21 19:03:57,2018-03-21 19:04:14,16.976s,FAILED
,,,,,,
Test Cases/Factorial Page/Factorial - Exception,Chrome 64.0.3282.186,Test Factorial page,2018-03-21 19:03:57,2018-03-21 19:04:04,6.089s,FAILED
openBrowser,Chrome 64.0.3282.186,,2018-03-21 19:03:58,2018-03-21 19:04:01,2.869s,PASSED
navigateToUrl,Chrome 64.0.3282.186,Navigate to Factorial link directly,2018-03-21 19:04:01,2018-03-21 19:04:01,0.453s,PASSED
setText,Chrome 64.0.3282.186,Enter input value using test File,2018-03-21 19:04:01,2018-03-21 19:04:01,0.151s,PASSED
click,Chrome 64.0.3282.186,Click on Submit,2018-03-21 19:04:01,2018-03-21 19:04:01,0.124s,PASSED
verifyElementNotPresent,Chrome 64.0.3282.186,Internal Server Error will occur at this step,2018-03-21 19:04:01,2018-03-21 19:04:03,1.470s,FAILED
closeBrowser,Chrome 64.0.3282.186,,2018-03-21 19:04:03,2018-03-21 19:04:04,0.612s,PASSED
,,,,,,
Test Cases/Fibonacci Page/Fibonacci - Exception,Chrome 64.0.3282.186,Test Factorial page exception case,2018-03-21 19:04:04,2018-03-21 19:04:08,4.840s,FAILED
openBrowser,Chrome 64.0.3282.186,,2018-03-21 19:04:04,2018-03-21 19:04:06,1.952s,PASSED
navigateToUrl,Chrome 64.0.3282.186,Navigate to Factorial link directly,2018-03-21 19:04:06,2018-03-21 19:04:06,0.345s,PASSED
setText,Chrome 64.0.3282.186,Enter input value using test File,2018-03-21 19:04:06,2018-03-21 19:04:06,0.118s,PASSED
click,Chrome 64.0.3282.186,Click on Submit,2018-03-21 19:04:06,2018-03-21 19:04:06,0.153s,PASSED
verifyElementNotPresent,Chrome 64.0.3282.186,Internal Server Error will occur at this step,2018-03-21 19:04:06,2018-03-21 19:04:08,1.409s,FAILED
closeBrowser,Chrome 64.0.3282.186,,2018-03-21 19:04:08,2018-03-21 19:04:08,0.602s,PASSED
,,,,,,
Test Cases/Hello Page/Hello - Exception,Chrome 64.0.3282.186,Test Hello page exception case,2018-03-21 19:04:08,2018-03-21 19:04:14,5.672s,FAILED
openBrowser,Chrome 64.0.3282.186,,2018-03-21 19:04:09,2018-03-21 19:04:11,1.955s,PASSED
navigateToUrl,Chrome 64.0.3282.186,Navigate to Hello page,2018-03-21 19:04:11,2018-03-21 19:04:11,0.479s,PASSED
verifyElementNotPresent,Chrome 64.0.3282.186,'Application error' page expected,2018-03-21 19:04:11,2018-03-21 19:04:14,2.406s,FAILED
closeBrowser,Chrome 64.0.3282.186,,2018-03-21 19:04:14,2018-03-21 19:04:14,0.600s,PASSED
