Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Deliverable-4 Normal Flow,Chrome 64.0.3282.186,,2018-03-21 17:34:22,2018-03-21 17:35:05,43.504s,PASSED
,,,,,,
Test Cases/Home Page/Home,Chrome 64.0.3282.186,Test Home page,2018-03-21 17:34:22,2018-03-21 17:34:32,9.915s,PASSED
callTestCase,Chrome 64.0.3282.186,Common utility to traverse to home  page and verify existence of logo,2018-03-21 17:34:23,2018-03-21 17:34:24,1.927s,PASSED
callTestCase,Chrome 64.0.3282.186,Common utility to traverse to home  page and verify existence of logo,2018-03-21 17:34:24,2018-03-21 17:34:28,3.259s,PASSED
verifyElementPresent,Chrome 64.0.3282.186,"Verify the page contains \""Welcome, friend, to a land of pure calculation\""",2018-03-21 17:34:28,2018-03-21 17:34:28,0.032s,PASSED
verifyElementPresent,Chrome 64.0.3282.186,"Verify \""Used for CS1632 Software Quality Assurance, taught by Bill Laboon\""",2018-03-21 17:34:28,2018-03-21 17:34:28,0.024s,PASSED
verifyElementPresent,Chrome 64.0.3282.186,"Verify \""THE WORLD IS YOUR OYSTER\""",2018-03-21 17:34:28,2018-03-21 17:34:28,0.025s,PASSED
closeBrowser,Chrome 64.0.3282.186,,2018-03-21 17:34:28,2018-03-21 17:34:28,0.629s,PASSED
openBrowser,Chrome 64.0.3282.186,,2018-03-21 17:34:28,2018-03-21 17:34:30,1.973s,PASSED
navigateToUrl,Chrome 64.0.3282.186,,2018-03-21 17:34:30,2018-03-21 17:34:31,0.390s,PASSED
click,Chrome 64.0.3282.186,,2018-03-21 17:34:31,2018-03-21 17:34:31,0.311s,PASSED
click,Chrome 64.0.3282.186,,2018-03-21 17:34:31,2018-03-21 17:34:31,0.079s,PASSED
click,Chrome 64.0.3282.186,,2018-03-21 17:34:31,2018-03-21 17:34:31,0.075s,PASSED
click,Chrome 64.0.3282.186,,2018-03-21 17:34:31,2018-03-21 17:34:31,0.070s,PASSED
closeBrowser,Chrome 64.0.3282.186,,2018-03-21 17:34:31,2018-03-21 17:34:32,0.601s,PASSED
,,,,,,
Test Cases/Hello Page/Hello - Normal Flow,Chrome 64.0.3282.186,Test Hello page,2018-03-21 17:34:32,2018-03-21 17:34:36,4.313s,PASSED
callTestCase,Chrome 64.0.3282.186,Common utility to verify all 5 links accessible,2018-03-21 17:34:32,2018-03-21 17:34:33,0.677s,PASSED
callTestCase,Chrome 64.0.3282.186,Common utility to traverse to home  page and verify existence of logo,2018-03-21 17:34:33,2018-03-21 17:34:35,2.555s,PASSED
click,Chrome 64.0.3282.186,Click on Hello href,2018-03-21 17:34:35,2018-03-21 17:34:36,0.152s,PASSED
verifyElementPresent,Chrome 64.0.3282.186,Check for presence of logo after click,2018-03-21 17:34:36,2018-03-21 17:34:36,0.023s,PASSED
verifyElementText,Chrome 64.0.3282.186,Compare expected output to variable defined,2018-03-21 17:34:36,2018-03-21 17:34:36,0.055s,PASSED
closeBrowser,Chrome 64.0.3282.186,,2018-03-21 17:34:36,2018-03-21 17:34:36,0.600s,PASSED
,,,,,,
Test Cases/Fibonacci Page/Fibonacci - Normal Flow,Chrome 64.0.3282.186,Test Fibonacci page,2018-03-21 17:34:36,2018-03-21 17:34:49,12.402s,PASSED
Statement - data = com.kms.katalon.core.testdata.TestDataFactory.findTestData(FibonacciTestData),Chrome 64.0.3282.186,,2018-03-21 17:34:37,2018-03-21 17:34:37,0.643s,PASSED
callTestCase,Chrome 64.0.3282.186,Common utility to traverse to home  page and verify existence of logo,2018-03-21 17:34:37,2018-03-21 17:34:38,0.679s,PASSED
Statement - For (def index : (0..(data.getRowNumbers() - 1))),Chrome 64.0.3282.186,Loop,2018-03-21 17:34:38,2018-03-21 17:34:49,10.860s,PASSED
,,,,,,
Test Cases/Factorial Page/Factorial - Normal Flow,Chrome 64.0.3282.186,Test Factorial page,2018-03-21 17:34:49,2018-03-21 17:35:00,11.735s,PASSED
Statement - data = com.kms.katalon.core.testdata.TestDataFactory.findTestData(FactorialTestData),Chrome 64.0.3282.186,,2018-03-21 17:34:49,2018-03-21 17:34:49,0.027s,PASSED
callTestCase,Chrome 64.0.3282.186,Common utility to traverse to home  page and verify existence of logo,2018-03-21 17:34:49,2018-03-21 17:34:50,0.684s,PASSED
Statement - For (def index : (0..(data.getRowNumbers() - 1))),Chrome 64.0.3282.186,Loop,2018-03-21 17:34:50,2018-03-21 17:35:00,10.773s,PASSED
,,,,,,
Test Cases/Cathedral Pics/Cathedral - Normal Flow,Chrome 64.0.3282.186,Test Cathedral page,2018-03-21 17:35:00,2018-03-21 17:35:05,4.734s,PASSED
callTestCase,Chrome 64.0.3282.186,,2018-03-21 17:35:01,2018-03-21 17:35:01,0.716s,PASSED
callTestCase,Chrome 64.0.3282.186,Common utility to traverse to home  page and verify existence of logo,2018-03-21 17:35:01,2018-03-21 17:35:04,2.517s,PASSED
click,Chrome 64.0.3282.186,Click on Cathedral link,2018-03-21 17:35:04,2018-03-21 17:35:04,0.279s,PASSED
callTestCase,Chrome 64.0.3282.186,,2018-03-21 17:35:04,2018-03-21 17:35:04,0.240s,PASSED
verifyElementPresent,Chrome 64.0.3282.186,Check the presence of an ordered list that contains the number '1',2018-03-21 17:35:04,2018-03-21 17:35:04,0.030s,PASSED
verifyElementPresent,Chrome 64.0.3282.186,Check the presence of an ordered list that contains the number '2',2018-03-21 17:35:04,2018-03-21 17:35:04,0.023s,PASSED
