Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Deliverable-4-All,Chrome 65.0.3325.181,,2018-03-26 19:57:47,2018-03-26 20:00:00,2m - 12.202s,FAILED
,,,,,,
Test Cases/Common Test/All 5 Links Present,Chrome 65.0.3325.181,Verify 5 links are on top,2018-03-26 19:57:48,2018-03-26 19:57:50,1.945s,PASSED
verifyLinksAccessible,Chrome 65.0.3325.181,Verify all 5 links are accessible,2018-03-26 19:57:48,2018-03-26 19:57:50,1.533s,PASSED
,,,,,,
Test Cases/Home Page/Home,Chrome 65.0.3325.181,Test Home page,2018-03-26 19:57:50,2018-03-26 19:57:56,5.829s,PASSED
callTestCase,Chrome 65.0.3325.181,Common utility to traverse to home  page and verify existence of logo,2018-03-26 19:57:50,2018-03-26 19:57:51,0.861s,PASSED
callTestCase,Chrome 65.0.3325.181,Common utility to traverse to home  page and verify existence of logo,2018-03-26 19:57:51,2018-03-26 19:57:55,3.983s,PASSED
Statement - welcomeStr = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(XPath/p_Welcome element)),Chrome 65.0.3325.181,Get the welcome text from Home page using XPath,2018-03-26 19:57:55,2018-03-26 19:57:55,0.060s,PASSED
Statement - taughtBy = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(XPath/p_Taught element)),Chrome 65.0.3325.181,Get the taught by text from Home page using XPath,2018-03-26 19:57:55,2018-03-26 19:57:55,0.041s,PASSED
verifyMatch,Chrome 65.0.3325.181,"Use Reg Ex to verify 'Welcome, friend, to a land of pure calculation.'",2018-03-26 19:57:55,2018-03-26 19:57:55,0.007s,PASSED
verifyMatch,Chrome 65.0.3325.181,"Use Reg Ex to erify \""Used for CS1632 Software Quality Assurance, taught by Bill Laboon\""",2018-03-26 19:57:55,2018-03-26 19:57:55,0.001s,PASSED
closeBrowser,Chrome 65.0.3325.181,,2018-03-26 19:57:55,2018-03-26 19:57:56,0.600s,PASSED
,,,,,,
Test Cases/Fibonacci Page/Fibonacci - Normal Flow,Chrome 65.0.3325.181,Test Fibonacci page,2018-03-26 19:57:56,2018-03-26 19:58:02,6.834s,PASSED
Statement - data = com.kms.katalon.core.testdata.TestDataFactory.findTestData(FibonacciTestData),Chrome 65.0.3325.181,,2018-03-26 19:57:56,2018-03-26 19:57:57,0.800s,PASSED
callTestCase,Chrome 65.0.3325.181,Common utility to traverse to home  page and verify existence of logo,2018-03-26 19:57:57,2018-03-26 19:57:57,0.815s,PASSED
callTestCase,Chrome 65.0.3325.181,Common utility to traverse to home  page and verify existence of logo,2018-03-26 19:57:57,2018-03-26 19:58:00,2.864s,PASSED
click,Chrome 65.0.3325.181,Click on Fibonacci link,2018-03-26 19:58:00,2018-03-26 19:58:00,0.163s,PASSED
verifyElementPresent,Chrome 65.0.3325.181,Check for presence of logo after click,2018-03-26 19:58:00,2018-03-26 19:58:00,0.021s,PASSED
verifyElementPresent,Chrome 65.0.3325.181,Verify 'Submit' button is present,2018-03-26 19:58:00,2018-03-26 19:58:00,0.022s,PASSED
Statement - For (def index : (0..(data.getRowNumbers() - 1))),Chrome 65.0.3325.181,Loop,2018-03-26 19:58:00,2018-03-26 19:58:02,1.314s,PASSED
closeBrowser,Chrome 65.0.3325.181,,2018-03-26 19:58:02,2018-03-26 19:58:02,0.630s,PASSED
,,,,,,
Test Cases/Factorial Page/Factorial - Normal Flow,Chrome 65.0.3325.181,Test Factorial page,2018-03-26 19:58:02,2018-03-26 19:58:09,6.824s,PASSED
